City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
227,Lazaro Cardenas,MX,82.47,scattered clouds,17.9583,-102.2,quinta antigua
240,Nisia Floresta,BR,75.58,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
241,Mareeba,AU,81.32,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
243,Hambantota,LK,80.94,overcast clouds,6.1241,81.1185,Bungalow 63
244,Gorontalo,ID,86.23,few clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
246,Manokwari,ID,83.46,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
253,Labuhan,ID,83.43,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
256,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
259,Lisakovsk,KZ,76.68,broken clouds,52.5369,62.4936,Gostinitsa Lisakovsk
261,Taloqan,AF,84.09,clear sky,36.7361,69.5345,Saraisang street
262,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
265,Makakilo City,US,84.52,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
268,Katherine,AU,82.72,scattered clouds,-14.4667,132.2667,Pine Tree Motel
274,Sanming,CN,89.1,clear sky,26.2486,117.6186,Sanming Huangting Lijing Hotel
277,Neiafu,TO,83.08,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
278,San Ramon,US,86.22,clear sky,37.7799,-121.978,San Ramon Marriott
283,Heishan,CN,84.04,overcast clouds,41.6892,122.1128,Heishan Hotel
286,Polson,US,82.54,clear sky,47.6936,-114.1632,Americas Best Value Port Polson Inn
289,Bengkulu,ID,80.67,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
290,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
292,Sandpoint,US,80.62,clear sky,48.2766,-116.5533,La Quinta Inn by Wyndham Sandpoint
296,Bilma,NE,83.16,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
303,Neyshabur,IR,79.21,clear sky,36.2133,58.7958,Amiran Hotel
305,Gizo,SB,83.62,few clouds,-8.103,156.8419,Imagination Island
306,Padang,ID,82.45,scattered clouds,-0.9492,100.3543,Mercure Padang
308,Itarema,BR,79.11,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
309,Rockport,US,86.25,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
310,Mangrol,IN,82.56,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
312,Sawakin,SD,90.0,overcast clouds,19.1059,37.3321,فندق الدويم
313,Pringsewu,ID,80.42,overcast clouds,-5.3582,104.9744,Urban Style by Front One
314,Matara,LK,79.43,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
318,Le Vauclin,MQ,81.84,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
320,Zaysan,KZ,78.6,clear sky,47.4667,84.8667,Ерлан үй
321,Limon,CR,75.65,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
324,Charters Towers,AU,78.21,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
330,Wilmington,US,81.91,broken clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
332,Norman Wells,CA,78.84,heavy intensity rain,65.282,-126.8329,Heritage Hotel
337,Hasaki,JP,88.29,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
340,Kieta,PG,83.82,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
349,Baghdad,IQ,87.71,clear sky,33.3406,44.4009,Baghdad Hotel
352,Shaowu,CN,89.82,clear sky,27.3409,117.4831,Yijie Express Hotel
354,Lompoc,US,77.41,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
355,Anloga,GH,77.22,broken clouds,5.7947,0.8973,Pin Drop Hotel
359,Karratha,AU,77.22,clear sky,-20.7377,116.8463,ibis Styles Karratha
366,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
369,Nichinan,JP,83.35,light rain,31.6,131.3667,Guest House Aki
370,Soe,ID,80.64,few clouds,-9.8607,124.284,Dena Hotel
371,Eyl,SO,78.85,broken clouds,7.9803,49.8164,Amiin Hotel
377,Sulangan,PH,84.88,light rain,11.1373,123.7228,Maia's Beach Resort
