City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
86,Mahebourg,-20.4081,57.7,70.25,77,75,11.5,broken clouds
87,Kapaa,22.0752,-159.319,79.12,81,75,1.01,light rain
88,Ribeira Grande,38.5167,-28.7,68.9,71,0,10.87,clear sky
89,Klaksvik,62.2266,-6.589,52.72,95,92,3.83,overcast clouds
90,Castro,-24.7911,-50.0119,65.39,46,0,5.39,clear sky
91,Puerto Carreno,6.189,-67.4859,82.92,75,67,8.14,broken clouds
92,Chuy,-33.6971,-53.4616,57.27,68,100,4.99,overcast clouds
93,Pohrebyshche,49.4864,29.2636,59.74,73,1,6.85,clear sky
94,Zaysan,47.4667,84.8667,71.55,47,100,4.03,overcast clouds
95,Butaritari,3.0707,172.7902,83.25,75,19,17.05,light rain
96,Poli,-3.3333,36.8,61.07,79,56,5.57,broken clouds
97,Kieta,-6.2167,155.6333,79.23,86,91,3.22,light rain
98,Haines Junction,60.7522,-137.5108,57.15,58,98,3.44,overcast clouds
99,Moron,-34.6534,-58.6198,70.02,49,64,5.99,broken clouds
100,Chicama,-7.8447,-79.1469,66.74,59,22,10.07,few clouds
101,Coquimbo,-29.9533,-71.3436,53.33,87,40,12.66,scattered clouds
102,Wangaratta,-36.3667,146.3333,43.16,93,90,9.22,overcast clouds
103,Faanui,-16.4833,-151.75,77.88,75,67,15.08,light rain
104,Angoram,-4.0625,144.0661,73.94,98,99,2.59,overcast clouds
105,Werda,-25.2667,23.2833,41.92,40,0,7.63,clear sky
106,Rorvik,64.8621,11.2373,51.78,100,75,9.22,light intensity drizzle
107,Ovsyanka,55.9575,92.5519,56.37,85,0,2.53,clear sky
108,Carutapera,-1.195,-46.02,84.06,69,15,9.84,few clouds
109,Takoradi,4.8845,-1.7554,76.23,81,12,9.73,few clouds
110,Ixtapa,20.7,-105.2,90.23,66,40,5.75,scattered clouds
111,Sorong,-0.8833,131.25,78.26,87,100,6.8,overcast clouds
112,Souillac,-20.5167,57.5167,70.32,70,55,14.63,broken clouds
113,Lebu,-37.6167,-73.65,55.0,74,100,5.82,overcast clouds
114,Belle Glade,26.6845,-80.6676,95.02,65,100,4.18,overcast clouds
115,Drayton Valley,53.2168,-114.9854,66.83,43,100,0.76,overcast clouds
116,Marystown,47.1666,-55.1483,61.02,83,100,6.58,overcast clouds
117,Luderitz,-26.6481,15.1594,59.11,40,13,15.12,few clouds
118,Sao Filipe,14.8961,-24.4956,75.49,87,15,9.24,few clouds
119,Kununurra,-15.7667,128.7333,67.77,34,31,3.33,scattered clouds
120,Kahului,20.8947,-156.47,79.27,69,44,14.88,scattered clouds
121,Saint-Philippe,-21.3585,55.7679,70.07,77,44,12.33,scattered clouds
122,Bredasdorp,-34.5322,20.0403,45.72,81,23,3.44,few clouds
