City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Boma,GH,7.0805,-2.1697,69.08,98,79,2.68,broken clouds
80,Mayo,US,38.8876,-76.5119,75.61,75,1,1.01,clear sky
81,Yellowknife,CA,62.456,-114.3525,61.32,100,90,6.91,thunderstorm with rain
82,Saint-Philippe,RE,-21.3585,55.7679,65.75,78,45,12.41,scattered clouds
83,Nicoya,CR,10.1483,-85.452,80.15,90,100,6.55,moderate rain
84,Dingle,PH,10.9995,122.6711,84.34,74,100,20.51,light rain
85,Ancud,CL,-41.8697,-73.8203,46.22,83,100,7.11,overcast clouds
86,Carnarvon,AU,-24.8667,113.6333,64.47,70,96,4.61,overcast clouds
87,Souillac,MU,-20.5167,57.5167,70.36,77,20,12.66,few clouds
88,Dukat,RU,62.55,155.55,46.15,94,100,4.88,light rain
89,Sabang,ID,5.8933,95.3214,83.43,76,100,23.17,overcast clouds
90,Ponta Do Sol,PT,32.6667,-17.1,73.0,80,11,7.85,few clouds
91,Mehamn,NO,71.0357,27.8492,43.41,79,100,19.69,overcast clouds
92,Guerrero Negro,MX,27.9769,-114.0611,72.81,75,100,14.63,overcast clouds
93,Kovdor,RU,67.5662,30.4758,40.6,86,100,11.97,overcast clouds
94,Lake City,US,30.1897,-82.6393,84.0,89,40,0.0,scattered clouds
95,Kristiansand,NO,58.1467,7.9956,59.32,61,0,1.14,clear sky
96,Colomi,BO,-17.35,-65.8667,53.62,75,26,2.68,scattered clouds
97,Lebedinyy,RU,58.5167,125.5167,73.02,60,99,5.55,light rain
98,Akonolinga,CM,3.7667,12.25,67.42,96,100,5.5,overcast clouds
99,Raga,SS,8.4596,25.678,67.62,95,80,4.16,broken clouds
100,Pasinler,TR,39.9803,41.6764,61.79,82,78,2.48,broken clouds
101,Avera,US,33.194,-82.5271,82.71,76,54,3.65,broken clouds
102,Anchorage,US,61.2181,-149.9003,70.25,67,1,1.01,clear sky
103,Ahipara,NZ,-35.1667,173.1667,58.87,62,1,8.77,clear sky
104,Palu,ID,-0.8917,119.8707,88.29,59,82,1.32,broken clouds
105,Vao,NC,-22.6667,167.4833,69.4,69,36,5.41,scattered clouds
106,Nelson Bay,AU,-32.7167,152.15,64.76,56,63,1.01,broken clouds
107,General Roca,AR,-39.0333,-67.5833,39.6,35,94,4.63,overcast clouds
108,Qaanaaq,GL,77.484,-69.3632,42.37,73,5,4.54,clear sky
109,Shimoda,JP,34.6667,138.95,80.96,71,32,6.55,scattered clouds
110,Port-Gentil,GA,-0.7193,8.7815,74.34,78,100,12.12,overcast clouds
111,Abu Dhabi,AE,24.4667,54.3667,98.62,34,0,5.75,clear sky
112,Vostok,RU,46.4856,135.8833,85.53,52,57,5.23,broken clouds
113,Kapustin Yar,RU,48.5831,45.7372,69.17,79,100,10.87,overcast clouds
114,Luderitz,NA,-26.6481,15.1594,55.51,35,10,6.62,clear sky
115,Westport,US,41.1415,-73.3579,77.14,77,1,1.01,clear sky
116,Santa Maria,BR,-29.6842,-53.8069,52.9,100,0,4.61,clear sky
117,Poyarkovo,RU,49.6,128.6833,91.56,45,48,10.29,light rain
118,Chokurdakh,RU,70.6333,147.9167,54.72,46,1,8.59,clear sky
119,Qui Nhon,VN,13.7667,109.2333,83.14,70,100,15.9,overcast clouds
120,Port Hedland,AU,-20.3167,118.5667,75.25,46,8,8.05,clear sky
121,Mar Del Plata,AR,-38.0023,-57.5575,55.99,71,0,13.8,clear sky
122,Severo-Kurilsk,RU,50.6789,156.125,56.61,86,55,5.35,broken clouds
123,Krasnoselkup,RU,65.7,82.4667,65.16,67,97,4.25,overcast clouds
124,Puerto Rico,AR,-26.796,-55.024,56.53,69,51,3.06,broken clouds
125,Coquimbo,CL,-29.9533,-71.3436,51.53,87,90,3.44,overcast clouds
126,Meulaboh,ID,4.1363,96.1285,80.94,76,47,2.06,scattered clouds
127,Necochea,AR,-38.5473,-58.7368,49.03,72,100,9.84,overcast clouds
128,Caravelas,BR,-17.7125,-39.2481,70.18,67,72,7.43,broken clouds
129,Huilong,CN,31.8111,121.655,84.97,74,0,18.9,clear sky
130,Ilulissat,GL,69.2167,-51.1,44.62,81,100,3.44,overcast clouds
131,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,100,90,8.95,overcast clouds
132,Annau,TM,37.8876,58.516,78.3,29,0,0.0,clear sky
133,Riyadh,SA,24.6877,46.7219,91.54,34,87,16.96,overcast clouds
134,Kutum,SD,14.2,24.6667,70.92,73,83,8.95,broken clouds
135,Pionerskiy,RU,54.9508,20.2275,57.04,71,3,12.44,clear sky
136,Autazes,BR,-3.5797,-59.1306,79.32,74,65,2.77,broken clouds
137,Nome,US,64.5011,-165.4064,51.17,71,1,18.41,clear sky
138,Port Blair,IN,11.6667,92.75,83.3,83,93,21.65,overcast clouds
139,Poum,NC,-20.2333,164.0167,71.64,73,1,3.06,clear sky
140,Esperance,AU,-33.8667,121.9,55.24,60,91,25.84,overcast clouds
141,Skibbereen,IE,51.55,-9.2667,66.0,90,100,12.21,overcast clouds
142,Suruc,TR,36.9761,38.425,84.4,32,0,15.17,clear sky
143,Buala,SB,-8.145,159.5921,84.9,70,23,6.73,few clouds
144,Goranboy,AZ,40.6103,46.7897,75.49,57,34,22.79,scattered clouds
145,Hovd,MN,48.0056,91.6419,78.58,25,100,5.97,overcast clouds
146,Kodiak,US,57.79,-152.4072,54.91,88,90,17.27,moderate rain
147,Luena,AO,-11.7833,19.9167,51.62,27,20,7.63,few clouds
148,Mocuba,MZ,-16.8392,36.9856,64.9,97,22,2.62,few clouds
149,Cartagena,CO,10.3997,-75.5144,82.02,83,20,10.36,few clouds
150,Kahului,US,20.8947,-156.47,84.22,68,40,26.46,scattered clouds
151,Rio Grande,BR,-32.035,-52.0986,52.95,87,99,9.78,moderate rain
152,Shadegan,IR,30.6497,48.6647,94.91,16,0,7.2,clear sky
153,Lokosovo,RU,61.1333,74.8167,70.99,74,39,11.77,scattered clouds
154,Hobyo,SO,5.3505,48.5268,76.82,81,100,26.93,overcast clouds
155,Nikolskoye,RU,59.7035,30.7861,60.8,81,95,5.44,overcast clouds
156,Half Moon Bay,US,37.4636,-122.4286,81.72,73,1,10.36,clear sky
157,Tukrah,LY,32.5341,20.5791,77.29,74,0,11.56,clear sky
158,Nanortalik,GL,60.1432,-45.2371,43.77,93,99,6.51,overcast clouds
159,Leh,IN,34.1667,77.5833,59.36,54,32,3.8,scattered clouds
160,Nakusp,CA,50.2499,-117.8023,77.34,31,0,1.14,clear sky
161,Arraial Do Cabo,BR,-22.9661,-42.0278,57.16,100,40,0.0,scattered clouds
162,Sungaipenuh,ID,-2.0833,101.3833,73.08,71,94,2.64,overcast clouds
163,Namibe,AO,-15.1961,12.1522,64.92,82,0,6.08,clear sky
164,Ndele,CF,8.4109,20.6473,66.69,98,98,2.62,overcast clouds
165,Victoria,HK,22.2855,114.1577,89.26,81,64,7.0,broken clouds
166,Divnomorskoye,RU,44.5011,38.1353,70.65,85,97,5.03,overcast clouds
167,Marsa Matruh,EG,31.3525,27.2453,77.2,88,0,5.75,clear sky
168,Chauk,MM,20.8833,94.8167,80.49,82,98,19.93,overcast clouds
169,San Patricio,US,28.017,-97.5169,86.09,75,88,11.72,overcast clouds
170,Coihaique,CL,-45.5752,-72.0662,42.75,56,20,3.44,light rain
171,Cockburn Town,TC,21.4612,-71.1419,81.88,84,66,19.62,broken clouds
172,Cidreira,BR,-30.1811,-50.2056,58.3,87,51,14.85,broken clouds
173,Kamaishi,JP,39.2667,141.8833,79.75,85,87,6.93,overcast clouds
174,Palmares Do Sul,BR,-30.2578,-50.5097,55.69,89,29,9.33,scattered clouds
175,Robe,AU,-37.1833,139.75,49.73,87,100,13.35,overcast clouds
176,Pevek,RU,69.7008,170.3133,43.07,68,5,7.14,clear sky
177,Yulara,AU,-25.2406,130.9889,58.84,47,5,3.44,clear sky
178,Ano Mera,GR,37.45,25.4,78.66,60,0,21.85,clear sky
179,San Vicente,AR,-26.6167,-54.1333,54.61,60,4,2.71,clear sky
180,Ban Dung,TH,17.699,103.2596,80.22,99,100,11.92,light rain
181,Tolmezzo,IT,46.4075,13.0175,65.95,93,6,6.53,clear sky
182,Preobrazheniye,RU,42.9019,133.9064,84.15,68,7,6.22,clear sky
183,Dicabisagan,PH,17.0818,122.4157,88.86,61,100,4.54,overcast clouds
184,Ambon,ID,-3.6954,128.1814,80.74,89,40,2.3,scattered clouds
185,Pisco,PE,-13.7,-76.2167,62.65,77,90,11.5,overcast clouds
186,Hithadhoo,MV,-0.6,73.0833,81.21,76,100,13.22,overcast clouds
187,Urumqi,CN,43.801,87.6005,77.95,36,0,4.47,clear sky
188,Natal,BR,-5.795,-35.2094,75.42,78,40,11.5,scattered clouds
189,Mount Gambier,AU,-37.8333,140.7667,48.11,81,90,12.66,overcast clouds
190,Huangpi,CN,30.8845,114.3779,84.31,79,0,11.18,clear sky
191,West Wendover,US,40.7391,-114.0733,83.41,37,40,26.46,scattered clouds
